smile_window,product,ema_window,beta,product_pnl_3d,VEV_5000_pnl_3d,VEV_5100_pnl_3d,VEV_5200_pnl_3d,VEV_5300_pnl_3d
300,VEV_5000,50,-1.0,16331,16331,14254,7740,2419
300,VEV_5000,50,-0.995,16303,16303,14254,7740,2419
300,VEV_5000,60,-0.985,16260,16260,14254,7740,2419
300,VEV_5000,50,-1.005,16331,16331,14254,7740,2419
300,VEV_5000,60,-1.005,16264,16264,14254,7740,2419
300,VEV_5000,60,-0.99,16264,16264,14254,7740,2419
300,VEV_5000,60,-1.0,16264,16264,14254,7740,2419
300,VEV_5000,60,-0.995,16264,16264,14254,7740,2419
300,VEV_5100,20,-0.985,14377,16331,14377,7740,2419
300,VEV_5100,20,-1.0,14377,16331,14377,7740,2419
300,VEV_5100,20,-0.995,14377,16331,14377,7740,2419
300,VEV_5100,20,-0.99,14377,16331,14377,7740,2419
300,VEV_5100,30,-0.985,14370,16331,14370,7740,2419
300,VEV_5100,30,-0.995,14370,16331,14370,7740,2419
300,VEV_5100,30,-0.99,14370,16331,14370,7740,2419
300,VEV_5100,20,-1.005,14393,16331,14393,7740,2419
300,VEV_5100,30,-1.005,14370,16331,14370,7740,2419
300,VEV_5100,40,-0.99,14274,16331,14274,7740,2419
300,VEV_5100,40,-0.985,14274,16331,14274,7740,2419
300,VEV_5100,30,-1.0,14370,16331,14370,7740,2419
300,VEV_5100,50,-0.985,14254,16331,14254,7740,2419
300,VEV_5100,40,-0.995,14274,16331,14274,7740,2419
300,VEV_5100,40,-1.0,14274,16331,14274,7740,2419
300,VEV_5100,40,-1.005,14274,16331,14274,7740,2419
300,VEV_5100,50,-0.99,14254,16331,14254,7740,2419
300,VEV_5100,50,-1.0,14254,16331,14254,7740,2419
300,VEV_5100,50,-0.995,14254,16331,14254,7740,2419
300,VEV_5100,50,-1.005,14254,16331,14254,7740,2419
300,VEV_5100,60,-0.995,14077,16331,14077,7740,2419
300,VEV_5100,60,-0.99,14077,16331,14077,7740,2419
300,VEV_5100,60,-0.985,14077,16331,14077,7740,2419
300,VEV_5100,60,-1.0,14077,16331,14077,7740,2419
300,VEV_5200,20,-0.995,7876,16331,14254,7876,2419
300,VEV_5200,20,-0.99,8074,16331,14254,8074,2419
300,VEV_5200,20,-0.985,8074,16331,14254,8074,2419
300,VEV_5100,60,-1.005,14077,16331,14077,7740,2419
300,VEV_5200,20,-1.005,7776,16331,14254,7776,2419
300,VEV_5200,30,-0.99,7782,16331,14254,7782,2419
300,VEV_5200,20,-1.0,7776,16331,14254,7776,2419
300,VEV_5200,30,-0.985,7782,16331,14254,7782,2419
300,VEV_5200,40,-0.985,7552,16331,14254,7552,2419
300,VEV_5200,30,-1.0,7740,16331,14254,7740,2419
300,VEV_5200,30,-0.995,7740,16331,14254,7740,2419
300,VEV_5200,30,-1.005,7710,16331,14254,7710,2419
300,VEV_5200,40,-0.99,7323,16331,14254,7323,2419
300,VEV_5200,40,-1.005,7323,16331,14254,7323,2419
300,VEV_5200,40,-0.995,7323,16331,14254,7323,2419
300,VEV_5200,40,-1.0,7323,16331,14254,7323,2419
300,VEV_5200,50,-1.0,7318,16331,14254,7318,2419
300,VEV_5200,50,-0.985,7318,16331,14254,7318,2419
300,VEV_5200,50,-0.99,7318,16331,14254,7318,2419
300,VEV_5200,50,-0.995,7318,16331,14254,7318,2419
300,VEV_5200,60,-0.995,7238,16331,14254,7238,2419
300,VEV_5200,60,-0.99,7238,16331,14254,7238,2419
300,VEV_5200,60,-0.985,7270,16331,14254,7270,2419
300,VEV_5200,50,-1.005,7284,16331,14254,7284,2419
300,VEV_5300,20,-0.985,2419,16331,14254,7740,2419
300,VEV_5300,20,-0.99,2369,16331,14254,7740,2369
300,VEV_5200,60,-1.005,7234,16331,14254,7234,2419
300,VEV_5200,60,-1.0,7238,16331,14254,7238,2419
300,VEV_5300,20,-1.0,2369,16331,14254,7740,2369
300,VEV_5300,30,-0.985,2564,16331,14254,7740,2564
300,VEV_5300,20,-1.005,2369,16331,14254,7740,2369
300,VEV_5300,20,-0.995,2369,16331,14254,7740,2369
300,VEV_5300,30,-1.0,2554,16331,14254,7740,2554
300,VEV_5300,30,-0.99,2564,16331,14254,7740,2564
300,VEV_5300,30,-0.995,2564,16331,14254,7740,2564
300,VEV_5300,30,-1.005,2554,16331,14254,7740,2554
300,VEV_5300,40,-0.985,2513,16331,14254,7740,2513
300,VEV_5300,40,-0.995,2549,16331,14254,7740,2549
300,VEV_5300,40,-0.99,2549,16331,14254,7740,2549
300,VEV_5300,40,-1.0,2549,16331,14254,7740,2549
300,VEV_5300,40,-1.005,2494,16331,14254,7740,2494
300,VEV_5300,50,-0.985,2546,16331,14254,7740,2546
300,VEV_5300,50,-0.99,2546,16331,14254,7740,2546
300,VEV_5300,50,-0.995,2546,16331,14254,7740,2546
300,VEV_5300,60,-0.985,2638,16331,14254,7740,2638
300,VEV_5300,50,-1.005,2281,16331,14254,7740,2281
300,VEV_5300,50,-1.0,2281,16331,14254,7740,2281
300,VEV_5300,60,-0.99,2638,16331,14254,7740,2638
500,VEV_5000,20,-0.985,16142,16142,14144,7747,2380
300,VEV_5300,60,-0.995,2398,16331,14254,7740,2398
300,VEV_5300,60,-1.0,2398,16331,14254,7740,2398
300,VEV_5300,60,-1.005,2398,16331,14254,7740,2398
500,VEV_5000,20,-1.0,16142,16142,14144,7747,2380
500,VEV_5000,20,-1.005,16142,16142,14144,7747,2380
500,VEV_5000,20,-0.995,16142,16142,14144,7747,2380
500,VEV_5000,20,-0.99,16142,16142,14144,7747,2380
500,VEV_5000,30,-0.985,16117,16117,14144,7747,2380
500,VEV_5000,30,-1.0,16117,16117,14144,7747,2380
500,VEV_5000,30,-0.99,16117,16117,14144,7747,2380
500,VEV_5000,30,-0.995,16117,16117,14144,7747,2380
500,VEV_5000,30,-1.005,16117,16117,14144,7747,2380
500,VEV_5000,40,-0.99,16263,16263,14144,7747,2380
500,VEV_5000,40,-0.985,16263,16263,14144,7747,2380
500,VEV_5000,40,-0.995,16263,16263,14144,7747,2380
500,VEV_5000,50,-0.99,16298,16298,14144,7747,2380
500,VEV_5000,50,-0.985,16298,16298,14144,7747,2380
500,VEV_5000,40,-1.005,16263,16263,14144,7747,2380
500,VEV_5000,40,-1.0,16263,16263,14144,7747,2380
500,VEV_5000,60,-0.985,16096,16096,14144,7747,2380
500,VEV_5000,50,-1.0,16301,16301,14144,7747,2380
500,VEV_5000,50,-1.005,16301,16301,14144,7747,2380
500,VEV_5000,50,-0.995,16301,16301,14144,7747,2380
500,VEV_5000,60,-0.995,16096,16096,14144,7747,2380
500,VEV_5000,60,-1.005,16096,16096,14144,7747,2380
500,VEV_5000,60,-0.99,16096,16096,14144,7747,2380
500,VEV_5000,60,-1.0,16096,16096,14144,7747,2380
500,VEV_5100,20,-0.985,14391,16301,14391,7747,2380
500,VEV_5100,20,-1.0,14391,16301,14391,7747,2380
500,VEV_5100,20,-0.99,14391,16301,14391,7747,2380
500,VEV_5100,20,-0.995,14391,16301,14391,7747,2380
